writing_id,cefr_level,move_sequence
473096,C1,"['Other', 'Social_Closing', 'Social_Closing', 'Social_Closing', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Information_Reporting', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Social_Closing']"
474110,B2,"['Social_Closing', 'Information_Reporting', 'Other', 'Other', 'Physical_Description', 'Information_Reporting']"
475922,C1,['Information_Reporting']
481924,C1,"['Social_Opening', 'Opinion_Evaluation', 'Other', 'Other', 'Other', 'Other', 'Social_Closing']"
483152,C2,"['Opinion_Evaluation', 'Information_Reporting', 'Information_Reporting', 'Social_Closing', 'Social_Closing', 'Social_Closing']"
484075,B1,"['Social_Opening', 'Information_Reporting', 'Information_Reporting', 'Social_Closing', 'Social_Closing']"
485922,B1,"['Information_Reporting', 'Opinion_Evaluation', 'Information_Reporting']"
486163,B1,"['Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation']"
486235,C1,['Other']
486871,A1,"['Other', 'Other', 'Social_Closing']"
489826,C1,"['Information_Reporting', 'Other', 'Opinion_Evaluation', 'Social_Closing']"
490928,B2,"['Social_Opening', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Other', 'Other', 'Social_Closing']"
493218,B2,"['Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Opinion_Evaluation', 'Other']"
499939,A1,"['Information_Reporting', 'Other']"
507288,A1,['Social_Closing']
509058,C2,"['Other', 'Other', 'Other', 'Other']"
509506,B2,"['Other', 'Other', 'Other', 'Information_Reporting', 'Physical_Description', 'Other']"
513050,B2,"['Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine']"
522524,A2,"['Social_Opening', 'Self_Introduction', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Other', 'Social_Closing']"
523766,B2,"['Information_Reporting', 'Information_Reporting', 'Information_Reporting']"
524309,A1,"['Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Self_Introduction']"
525770,A2,"['Self_Introduction', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine']"
526128,A1,"['Other', 'Other']"
527609,A1,"['Social_Opening', 'Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Opinion_Evaluation', 'Social_Closing', 'Other']"
528748,A1,"['Self_Introduction', 'Other', 'Self_Introduction', 'Information_Reporting', 'Self_Introduction', 'Self_Introduction']"
532209,A1,"['Social_Opening', 'Other', 'Self_Introduction', 'Self_Introduction', 'Social_Closing', 'Social_Closing']"
533756,A1,"['Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Information_Reporting', 'Other', 'Social_Closing']"
536955,A1,"['Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description']"
537009,A1,['Self_Introduction']
537884,B1,"['Opinion_Evaluation', 'Opinion_Evaluation', 'Other', 'Social_Closing', 'Social_Closing']"
538597,B2,"['Other', 'Physical_Description', 'Narrative_Experience', 'Physical_Description']"
540103,B2,"['Other', 'Other', 'Information_Reporting', 'Other', 'Other', 'Physical_Description', 'Physical_Description']"
543486,B1,"['Social_Opening', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Other', 'Social_Closing']"
543835,C2,"['Self_Introduction', 'Narrative_Experience', 'Other', 'Physical_Description', 'Narrative_Experience', 'Narrative_Experience', 'Information_Reporting', 'Information_Reporting', 'Narrative_Experience', 'Other']"
544440,C2,"['Other', 'Opinion_Evaluation', 'Narrative_Experience', 'Opinion_Evaluation', 'Social_Closing', 'Narrative_Experience']"
549643,A2,"['Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Other', 'Information_Reporting']"
550755,A1,"['Social_Opening', 'Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Social_Opening', 'Other']"
551280,B2,"['Other', 'Other', 'Narrative_Experience', 'Other', 'Other', 'Other', 'Other', 'Physical_Description', 'Opinion_Evaluation']"
555617,A1,"['Self_Introduction', 'Self_Introduction']"
557762,A2,"['Information_Reporting', 'Self_Introduction', 'Other', 'Information_Reporting', 'Social_Closing']"
559783,A1,"['Self_Introduction', 'Other']"
560674,A2,"['Self_Introduction', 'Self_Introduction', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine']"
561021,C1,"['Other', 'Information_Reporting', 'Other', 'Other', 'Narrative_Experience', 'Narrative_Experience', 'Other', 'Narrative_Experience']"
562289,C2,"['Information_Reporting', 'Information_Reporting', 'Social_Opening', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Social_Closing', 'Social_Closing']"
563082,B2,"['Information_Reporting', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Social_Closing', 'Social_Closing', 'Social_Closing', 'Information_Reporting', 'Social_Closing']"
567420,B1,"['Information_Reporting', 'Other', 'Physical_Description', 'Physical_Description', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting']"
567819,A2,"['Daily_Routine', 'Other']"
568021,A2,"['Social_Opening', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine']"
568121,A1,"['Other', 'Other', 'Social_Closing']"
570893,A2,"['Information_Reporting', 'Social_Closing', 'Information_Reporting', 'Other', 'Opinion_Evaluation', 'Social_Closing', 'Social_Closing']"
573251,C1,"['Social_Closing', 'Daily_Routine', 'Daily_Routine', 'Information_Reporting', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Social_Closing']"
574449,B2,"['Other', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Information_Reporting', 'Narrative_Experience']"
578108,B2,"['Daily_Routine', 'Daily_Routine', 'Daily_Routine']"
578633,B2,"['Self_Introduction', 'Social_Closing', 'Narrative_Experience', 'Narrative_Experience', 'Other', 'Narrative_Experience', 'Other']"
579544,A2,"['Self_Introduction', 'Information_Reporting', 'Daily_Routine', 'Other', 'Physical_Description', 'Information_Reporting']"
581145,B1,"['Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Information_Reporting']"
581215,B1,"['Opinion_Evaluation', 'Opinion_Evaluation', 'Other', 'Social_Opening']"
581378,A2,"['Other', 'Information_Reporting', 'Self_Introduction', 'Other', 'Other', 'Other', 'Other', 'Information_Reporting', 'Other', 'Opinion_Evaluation', 'Other', 'Physical_Description', 'Other']"
581882,C1,"['Information_Reporting', 'Social_Closing', 'Other', 'Information_Reporting', 'Opinion_Evaluation', 'Other', 'Other', 'Social_Closing', 'Social_Closing']"
582961,B1,"['Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Opinion_Evaluation', 'Other']"
584827,C2,"['Information_Reporting', 'Other', 'Other', 'Other', 'Other']"
588139,A2,"['Daily_Routine', 'Social_Closing']"
589707,B1,"['Self_Introduction', 'Self_Introduction', 'Narrative_Experience', 'Information_Reporting', 'Information_Reporting', 'Social_Closing']"
592442,B1,"['Information_Reporting', 'Information_Reporting', 'Information_Reporting']"
593029,A2,['Other']
593131,C2,"['Social_Opening', 'Other', 'Social_Closing', 'Other', 'Social_Closing', 'Daily_Routine', 'Daily_Routine', 'Information_Reporting', 'Social_Closing']"
597107,A1,"['Other', 'Other', 'Other', 'Other']"
600620,A1,"['Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Physical_Description']"
600625,A2,"['Other', 'Other', 'Physical_Description', 'Social_Closing']"
600897,B2,"['Social_Closing', 'Self_Introduction', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine']"
601449,C2,"['Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation']"
602581,C1,['Narrative_Experience']
603194,C2,"['Information_Reporting', 'Information_Reporting', 'Social_Closing']"
603197,C2,"['Information_Reporting', 'Information_Reporting', 'Opinion_Evaluation', 'Social_Closing', 'Other', 'Social_Closing']"
607534,B1,"['Self_Introduction', 'Self_Introduction']"
608850,C1,"['Other', 'Other', 'Information_Reporting', 'Other', 'Information_Reporting', 'Social_Closing', 'Social_Closing']"
610030,C2,"['Information_Reporting', 'Information_Reporting']"
611065,A2,"['Opinion_Evaluation', 'Information_Reporting', 'Information_Reporting', 'Opinion_Evaluation', 'Information_Reporting']"
613381,C1,['Social_Closing']
613957,C2,"['Information_Reporting', 'Information_Reporting', 'Social_Closing', 'Social_Closing']"
615434,A2,['Self_Introduction']
616684,A1,"['Social_Opening', 'Other', 'Information_Reporting', 'Other', 'Information_Reporting', 'Daily_Routine', 'Information_Reporting', 'Information_Reporting', 'Social_Closing']"
616795,B1,"['Information_Reporting', 'Opinion_Evaluation', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting']"
620150,A2,"['Social_Opening', 'Self_Introduction', 'Self_Introduction', 'Information_Reporting', 'Self_Introduction', 'Self_Introduction', 'Information_Reporting', 'Self_Introduction', 'Self_Introduction', 'Opinion_Evaluation']"
621409,C2,"['Information_Reporting', 'Other', 'Information_Reporting', 'Other', 'Other', 'Social_Closing']"
622289,C2,"['Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Other', 'Information_Reporting', 'Other']"
622558,A2,"['Daily_Routine', 'Daily_Routine', 'Daily_Routine']"
623976,A2,"['Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Other', 'Social_Closing']"
625305,A2,"['Social_Closing', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Other', 'Daily_Routine', 'Opinion_Evaluation']"
628895,C2,"['Other', 'Other', 'Other', 'Information_Reporting', 'Other']"
629569,C2,"['Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Self_Introduction', 'Self_Introduction', 'Information_Reporting']"
633878,A1,"['Social_Opening', 'Self_Introduction', 'Social_Closing', 'Self_Introduction']"
635463,B2,"['Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Daily_Routine', 'Information_Reporting']"
648270,B1,"['Information_Reporting', 'Other', 'Information_Reporting', 'Information_Reporting', 'Other', 'Social_Closing']"
652079,B2,"['Daily_Routine', 'Daily_Routine', 'Opinion_Evaluation', 'Other', 'Other']"
656073,B2,"['Social_Opening', 'Social_Closing', 'Other', 'Other', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Other', 'Physical_Description', 'Physical_Description', 'Opinion_Evaluation', 'Other', 'Physical_Description', 'Physical_Description', 'Physical_Description', 'Social_Closing', 'Physical_Description', 'Physical_Description', 'Social_Closing']"
658916,A2,"['Social_Opening', 'Self_Introduction', 'Daily_Routine', 'Daily_Routine', 'Other']"
659387,A1,"['Other', 'Other', 'Social_Closing']"
660906,A1,"['Other', 'Other', 'Social_Closing']"
662410,B1,"['Self_Introduction', 'Self_Introduction', 'Narrative_Experience', 'Information_Reporting', 'Information_Reporting', 'Social_Closing']"
663092,C2,"['Information_Reporting', 'Other', 'Other', 'Other', 'Other', 'Social_Closing']"
664377,B2,"['Information_Reporting', 'Information_Reporting', 'Other', 'Physical_Description', 'Information_Reporting', 'Information_Reporting']"
664419,C2,"['Information_Reporting', 'Other', 'Information_Reporting', 'Opinion_Evaluation', 'Information_Reporting', 'Other', 'Other', 'Social_Closing']"
671146,C2,"['Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Social_Closing']"
671878,A1,['Narrative_Experience']
677838,B2,"['Narrative_Experience', 'Narrative_Experience', 'Other', 'Opinion_Evaluation', 'Information_Reporting']"
679723,B2,"['Self_Introduction', 'Information_Reporting', 'Narrative_Experience']"
679861,C1,"['Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience']"
680221,B1,['Opinion_Evaluation']
684383,A2,['Information_Reporting']
685273,C1,"['Social_Closing', 'Social_Closing', 'Self_Introduction', 'Narrative_Experience', 'Narrative_Experience']"
685583,A1,"['Other', 'Other']"
686181,B2,"['Other', 'Physical_Description', 'Other', 'Other', 'Narrative_Experience', 'Other', 'Other', 'Other']"
687488,A2,['Self_Introduction']
689533,A2,"['Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Information_Reporting']"
693437,B2,"['Daily_Routine', 'Daily_Routine', 'Daily_Routine']"
697969,B1,"['Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting']"
698698,C1,"['Social_Opening', 'Social_Closing', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Other', 'Social_Closing']"
698986,B1,"['Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting']"
700597,B2,"['Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience']"
704825,B2,"['Opinion_Evaluation', 'Narrative_Experience', 'Other', 'Social_Closing', 'Social_Closing', 'Social_Opening']"
706707,B1,"['Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Other']"
706716,C1,"['Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Narrative_Experience', 'Narrative_Experience', 'Information_Reporting']"
708721,B2,"['Self_Introduction', 'Information_Reporting', 'Other', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting']"
709708,C2,"['Other', 'Other', 'Opinion_Evaluation', 'Narrative_Experience']"
710072,B1,"['Daily_Routine', 'Daily_Routine', 'Daily_Routine']"
712413,B2,"['Other', 'Other', 'Other', 'Opinion_Evaluation', 'Other', 'Opinion_Evaluation', 'Other', 'Other', 'Information_Reporting', 'Opinion_Evaluation']"
718645,A2,"['Opinion_Evaluation', 'Information_Reporting', 'Information_Reporting', 'Daily_Routine', 'Opinion_Evaluation']"
725430,B2,"['Information_Reporting', 'Information_Reporting', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Information_Reporting', 'Information_Reporting', 'Social_Closing', 'Social_Closing']"
727986,A2,['Social_Closing']
728249,C1,"['Self_Introduction', 'Narrative_Experience', 'Opinion_Evaluation', 'Narrative_Experience', 'Information_Reporting', 'Information_Reporting', 'Opinion_Evaluation']"
730353,A2,"['Opinion_Evaluation', 'Opinion_Evaluation', 'Information_Reporting', 'Other', 'Other', 'Social_Closing']"
734147,A2,"['Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Information_Reporting', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Social_Closing']"
736052,C1,"['Other', 'Other', 'Physical_Description', 'Other', 'Other', 'Opinion_Evaluation']"
736304,C2,"['Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Social_Closing', 'Social_Closing']"
738313,A2,"['Information_Reporting', 'Opinion_Evaluation', 'Information_Reporting', 'Narrative_Experience']"
741576,A2,"['Social_Opening', 'Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Opinion_Evaluation', 'Other']"
742841,B1,"['Information_Reporting', 'Information_Reporting', 'Narrative_Experience', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting']"
743204,B1,"['Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine']"
745421,C1,"['Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Opinion_Evaluation', 'Other', 'Information_Reporting', 'Social_Closing', 'Social_Closing']"
745425,C1,"['Opinion_Evaluation', 'Daily_Routine', 'Daily_Routine', 'Social_Closing', 'Daily_Routine', 'Daily_Routine', 'Opinion_Evaluation']"
748290,B2,"['Information_Reporting', 'Information_Reporting']"
750174,C1,"['Narrative_Experience', 'Narrative_Experience', 'Other', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience']"
751735,C2,"['Narrative_Experience', 'Other']"
763242,C2,"['Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience']"
764074,C1,"['Narrative_Experience', 'Narrative_Experience', 'Information_Reporting', 'Other', 'Opinion_Evaluation', 'Other', 'Narrative_Experience', 'Other']"
767401,A2,"['Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Other']"
767943,B2,"['Narrative_Experience', 'Narrative_Experience', 'Social_Opening']"
767969,C1,"['Daily_Routine', 'Daily_Routine', 'Narrative_Experience', 'Daily_Routine', 'Narrative_Experience', 'Daily_Routine']"
768338,B2,"['Other', 'Narrative_Experience', 'Other', 'Narrative_Experience', 'Other', 'Social_Closing', 'Social_Closing']"
776718,A1,['Other']
777194,B1,['Daily_Routine']
777919,B1,"['Opinion_Evaluation', 'Opinion_Evaluation', 'Social_Closing']"
778978,A1,"['Social_Opening', 'Opinion_Evaluation', 'Social_Closing', 'Social_Closing']"
779883,B2,"['Information_Reporting', 'Other', 'Opinion_Evaluation']"
781303,C2,"['Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Other', 'Other', 'Other', 'Information_Reporting', 'Information_Reporting']"
783617,C1,"['Self_Introduction', 'Self_Introduction', 'Opinion_Evaluation', 'Narrative_Experience', 'Information_Reporting']"
784490,C1,"['Narrative_Experience', 'Information_Reporting', 'Other', 'Information_Reporting', 'Other']"
785450,A2,"['Self_Introduction', 'Other', 'Opinion_Evaluation', 'Daily_Routine', 'Opinion_Evaluation', 'Information_Reporting', 'Social_Closing']"
786676,A1,"['Opinion_Evaluation', 'Opinion_Evaluation']"
787634,A2,"['Self_Introduction', 'Other', 'Daily_Routine', 'Information_Reporting', 'Daily_Routine']"
789187,C2,"['Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Other']"
795061,B1,"['Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Other']"
796512,A1,"['Information_Reporting', 'Physical_Description', 'Opinion_Evaluation', 'Other', 'Other', 'Other']"
799572,C1,"['Self_Introduction', 'Self_Introduction', 'Narrative_Experience', 'Opinion_Evaluation', 'Narrative_Experience', 'Narrative_Experience', 'Information_Reporting', 'Narrative_Experience', 'Other']"
802453,C2,"['Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Social_Closing', 'Social_Closing']"
811671,A1,"['Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Social_Closing']"
812739,A2,"['Self_Introduction', 'Self_Introduction', 'Daily_Routine', 'Daily_Routine', 'Other', 'Daily_Routine']"
814328,B1,"['Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Social_Closing']"
816225,B2,"['Other', 'Narrative_Experience', 'Self_Introduction', 'Narrative_Experience', 'Narrative_Experience', 'Other']"
818066,B2,"['Other', 'Narrative_Experience', 'Other', 'Narrative_Experience', 'Narrative_Experience', 'Other', 'Self_Introduction']"
820632,C2,"['Opinion_Evaluation', 'Social_Opening', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation']"
821241,B2,"['Other', 'Narrative_Experience', 'Opinion_Evaluation', 'Other']"
821279,C2,"['Opinion_Evaluation', 'Social_Closing', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation']"
824857,A2,"['Opinion_Evaluation', 'Other', 'Other']"
825178,C2,"['Information_Reporting', 'Other', 'Other']"
827912,C2,"['Opinion_Evaluation', 'Opinion_Evaluation', 'Other', 'Information_Reporting', 'Information_Reporting', 'Other']"
828189,A2,"['Other', 'Information_Reporting', 'Other', 'Opinion_Evaluation']"
829089,C1,"['Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Other', 'Narrative_Experience', 'Opinion_Evaluation']"
832274,A1,['Self_Introduction']
832619,C1,"['Information_Reporting', 'Social_Closing']"
833899,B2,"['Information_Reporting', 'Information_Reporting']"
836092,A2,"['Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Other']"
836166,B2,"['Other', 'Other', 'Social_Closing', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Social_Closing', 'Social_Closing', 'Social_Closing', 'Social_Closing']"
838427,B1,"['Information_Reporting', 'Information_Reporting', 'Social_Closing', 'Information_Reporting', 'Opinion_Evaluation', 'Information_Reporting', 'Opinion_Evaluation']"
838576,B2,"['Social_Closing', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Social_Closing', 'Social_Closing']"
841625,C1,"['Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Other', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation']"
843093,A1,"['Social_Opening', 'Other', 'Other', 'Social_Closing', 'Social_Closing', 'Social_Opening']"
843779,A2,"['Opinion_Evaluation', 'Opinion_Evaluation', 'Information_Reporting', 'Information_Reporting', 'Opinion_Evaluation']"
847940,B1,"['Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Other', 'Opinion_Evaluation']"
848364,C1,"['Information_Reporting', 'Social_Closing']"
848513,C2,['Information_Reporting']
848804,A1,"['Social_Opening', 'Self_Introduction', 'Self_Introduction']"
849324,A1,"['Self_Introduction', 'Self_Introduction', 'Self_Introduction', 'Information_Reporting', 'Other', 'Social_Closing']"
851525,C2,"['Information_Reporting', 'Other', 'Physical_Description', 'Other', 'Information_Reporting', 'Other']"
853586,A1,"['Information_Reporting', 'Information_Reporting', 'Narrative_Experience', 'Information_Reporting']"
855248,C2,"['Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience']"
862696,C2,"['Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience']"
865813,B1,"['Narrative_Experience', 'Narrative_Experience', 'Opinion_Evaluation', 'Opinion_Evaluation']"
866117,B1,"['Narrative_Experience', 'Other', 'Information_Reporting', 'Information_Reporting', 'Other', 'Opinion_Evaluation', 'Opinion_Evaluation']"
867870,A2,"['Opinion_Evaluation', 'Opinion_Evaluation', 'Other', 'Opinion_Evaluation']"
868342,A1,"['Physical_Description', 'Information_Reporting']"
872413,A1,"['Opinion_Evaluation', 'Social_Closing', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation']"
872730,A1,['Other']
873284,A2,"['Self_Introduction', 'Self_Introduction', 'Daily_Routine', 'Other', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine']"
873802,C2,"['Other', 'Narrative_Experience', 'Other', 'Other', 'Narrative_Experience', 'Social_Closing', 'Narrative_Experience', 'Social_Closing', 'Narrative_Experience']"
876130,C1,"['Social_Closing', 'Information_Reporting', 'Information_Reporting', 'Social_Closing']"
877302,B2,"['Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Daily_Routine', 'Physical_Description', 'Daily_Routine', 'Daily_Routine']"
877529,C2,['Narrative_Experience']
878122,B1,"['Self_Introduction', 'Self_Introduction', 'Information_Reporting', 'Information_Reporting', 'Opinion_Evaluation', 'Daily_Routine', 'Other']"
881207,C1,"['Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Other', 'Information_Reporting', 'Narrative_Experience']"
882036,B2,"['Other', 'Social_Closing', 'Other', 'Other', 'Daily_Routine', 'Social_Closing', 'Social_Closing']"
882105,C1,"['Narrative_Experience', 'Narrative_Experience', 'Other', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience']"
883440,B1,"['Opinion_Evaluation', 'Opinion_Evaluation', 'Other', 'Information_Reporting', 'Narrative_Experience', 'Opinion_Evaluation']"
886521,C1,"['Narrative_Experience', 'Narrative_Experience', 'Information_Reporting', 'Narrative_Experience', 'Narrative_Experience', 'Other', 'Narrative_Experience', 'Narrative_Experience', 'Opinion_Evaluation', 'Other']"
888535,A2,"['Self_Introduction', 'Information_Reporting', 'Other', 'Daily_Routine', 'Social_Closing', 'Daily_Routine', 'Self_Introduction', 'Self_Introduction', 'Daily_Routine']"
891542,C2,"['Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Other']"
892136,A2,"['Opinion_Evaluation', 'Information_Reporting', 'Daily_Routine', 'Daily_Routine', 'Social_Closing']"
892932,C2,"['Narrative_Experience', 'Narrative_Experience']"
893836,B2,"['Narrative_Experience', 'Information_Reporting', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience']"
894533,B2,"['Other', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience']"
894615,A2,"['Social_Closing', 'Other', 'Information_Reporting', 'Social_Closing']"
896761,A1,"['Narrative_Experience', 'Information_Reporting']"
898973,B1,"['Narrative_Experience', 'Other', 'Narrative_Experience', 'Social_Closing', 'Opinion_Evaluation', 'Other']"
899546,B1,"['Social_Closing', 'Information_Reporting', 'Opinion_Evaluation', 'Information_Reporting', 'Opinion_Evaluation']"
899915,B2,"['Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Other']"
901487,B2,"['Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience']"
912004,A2,"['Opinion_Evaluation', 'Opinion_Evaluation']"
912276,B1,"['Opinion_Evaluation', 'Other', 'Other', 'Opinion_Evaluation', 'Opinion_Evaluation']"
912322,C1,"['Narrative_Experience', 'Narrative_Experience', 'Information_Reporting', 'Narrative_Experience', 'Information_Reporting']"
913169,C1,"['Other', 'Other', 'Other', 'Opinion_Evaluation', 'Narrative_Experience', 'Other', 'Narrative_Experience', 'Social_Closing']"
913898,B2,"['Other', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Other']"
917787,B2,"['Other', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Other', 'Narrative_Experience', 'Narrative_Experience']"
920337,A1,"['Other', 'Self_Introduction', 'Self_Introduction', 'Physical_Description', 'Social_Closing', 'Other']"
921460,C1,"['Narrative_Experience', 'Social_Closing', 'Other', 'Information_Reporting', 'Social_Closing', 'Other', 'Other', 'Other']"
922239,C2,"['Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience', 'Narrative_Experience']"
922398,B1,"['Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Opinion_Evaluation', 'Other', 'Physical_Description']"
925415,C2,"['Information_Reporting', 'Other', 'Other', 'Information_Reporting', 'Social_Closing', 'Opinion_Evaluation', 'Social_Closing', 'Social_Closing']"
925778,B2,"['Self_Introduction', 'Physical_Description']"
927983,C1,"['Narrative_Experience', 'Narrative_Experience']"
930647,A1,"['Information_Reporting', 'Other', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting', 'Information_Reporting']"
930766,B2,"['Other', 'Social_Closing', 'Opinion_Evaluation', 'Social_Closing', 'Social_Closing']"
